sentence,label
BIANCA,BIANCA
Who?,Who?
He just wants me to be someone I'm not.,not.
So what ' s up with your dad?  He a pain in the ass?,ass?
I'm gettin' there,there
"Oh, so now you think you know me?",me?
You don't strike me as the type that would ask permission.,permission.
My father wouldn't approve of that that,that
Start a band?,band?
This.,This.
Do what?,what?
I should do this.,this.
Why'd you lie?,lie?
Then why'd you ask?,ask?
"No, you weren't",weren't
Maybe.,Maybe.
Were you in jail?,jail?
Busy,Busy
When you were gone last year -- where were you?,you?
But it's Gigglepuss - I know you like them.  I saw you there.,there.
And I'm in control of it.,it.
What?,What?
Kat! Wake up!,up!
You know what they say,say
I thought you were above all that,that
"Hey man. . .  You don ' t think I can be ""cool""?  You don't think I can be ""laid back"" like everyone else?",else?
I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.,type.
I hate him.,him.
Dorsey.,Dorsey.
Who?,Who?
Why'd you let him get to you?,you?
Just let me sit down.,down.
See that?  Who needs affection when I've got blind hatred?,hatred?
Like you could find one,one
Because then I'd have to start taking out girls who like me.,me.
Why?,Why?
"Sure, I do",do
You don't care if I die,die
I told you,you
Why 're you doing this?,this?
Leave it to you to use big words when you're shitfaced.,shitfaced.
This is so patronizing.,patronizing.
What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...,difference...
"I know, just let me sleep",sleep
"Uh, uh. You lie down and you'll go to sleep",sleep
I just need to lie down for awhile,awhile
You're not okay.,okay.
I'm fine. I'm,I'm
Okay?,Okay?
"Funny, you're the only one",one
"I say, do what you wanna do.",do.
"I'm getting trashed, man. Isn't that what you're supposed to do at a party?",party?
What's this?,this?
"Why, don't you?",you?
You know who The Raincoats are?,are?
"You know, these guys are no Bikini Kill or The Raincoats, but they're right up there.",there.
Do you mind?  You're sort of ruining it for me.,me.
"That's what you want, isn't it?",it?
Excuse me?,me?
"hey.  Great show, huh?",huh?
Depends on the topic. My fenders don't really whip me into a verbal frenzy.,frenzy.
"You're not a big talker, are you?",you?
Hi,Hi
I was in the laundromat. I saw your car. Thought I'd say hi.,hi.
Are you following me?,me?
Seven-thirty?,Seven-thirty?
You -- covered in my vomit.,vomit.
"Come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass...",ass...
And why would I do that?,that?
Then say you'll spend Dollar Night at the track with me.,me.
I don't really think you warrant that strong an emotion.,emotion.
You hate me don't you?,you?
I know a lot more than that,that
"Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?",screwboy?
The night I take you to places you've never been before.  And back.,back.
"Oh, right.  Friday.",Friday.
"Pick you up Friday, then",then
My mission in life.,life.
There's a way to get a guy's attention.,attention.
"Sweating like a pig, actually.  And yourself?",yourself?
I mean Wo-man.  How ya doin'?,doin'?
"Oh, Christ.  Don't tell me you've changed your mind.  I already sent 'em a check.",check.
When I go?,go?
"You know, fathers don't like to admit that their daughters are capable of running their own lives.  It means we've become spectators.  Bianca still lets me play a few innings.  You've had me on the bleachers for years.  When you go to Sarah Lawrence, I won't even be able to watch the game.",game.
No -- impressed.,impressed.
What's the matter?  Upset that I rubbed off on her?,her?
Bianca did what?,what?
The part where Bianca beat the hell out of some guy.,guy.
Which parts?,parts?
Parts of it.,it.
So tell me about this dance. Was it fun?,fun?
"No, Daddy.",Daddy.
I don't understand the allure of dehydrated food.  Is this something I should be hip to?,to?
Funny.,Funny.
Yeah.  She left with some bikers Big ones.  Full of sperm.,sperm.
Was that your sister?,sister?
I want to go to an East Coast school! I want you to trust me to make my own choices.  I want --,--
You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.,it.
So what I want doesn't matter?,matter?
"As a parent, that's my right",right
Because you're making decisions for me.,me.
Why can't we agree on this?,this?
I thought you were punishing me.,me.
Is this about Sarah Lawrence? You punishing me?,me?
Then tell them I had a seizure.,seizure.
My insurance does not cover PMS,PMS
Enough!,Enough!
This from someone whose diary is devoted to favorite grooming tips?,tips?
You decided.,decided.
I thought we decided you were going to school here.  At U of 0.,0
I know.,know.
Just smack her now.,now.
"Am I supposed to feel better? Like, right now?  Or do I have some time to think about it?",it?
"No ... I believe ""heinous bitch"" is the term used most often.",often.
Tempestuous?,Tempestuous?
The point is Kat -- people perceive you as somewhat ...,...
I still maintain that he kicked himself in the balls.  I was merely a spectator.,spectator.
"Well, yes, compared to your other choices of expression this year, today's events are quite mild.  By the way, Bobby Rictor's gonad retrieval operation went quite well, in case you're interested.",interested.
Expressing my opinion is not a terrorist action.,action.
"Katarina Stratford.  My, my.  You've been terrorizing Ms. Blaise again.",again.
Yeah...,Yeah...
"Kat a fan, too?",too?
Right.,Right.
"Macbeth, right?",right?
Oh yeah.,yeah.
You think?,think?
Yeah.  I guess.,guess.
Cool pictures.  You a fan?,fan?
Hi.,Hi.
Hey there.  Tired of breathing?,breathing?
Man -- don't say shit like that to  me. People can hear you.,you.
"Sweet love, renew thy force!",force!
You were right. She's still pissed.,pissed.
No - I've got a sweet-payin' job that I'm about to lose.,lose.
So you got cozy with she who stings?,stings?
I'm likin' you guys better,better
I prefer to think of it simply as an alternative to what the law allows.,allows.
Yeah.,Yeah.
Ever been to Club Skunk?,Skunk?
Just for now.,now.
"Are you telling me I'm a -  ""non-smoker""?",non-smoker?
Good enough.,enough.
What?!,What?!
We're your guys.,guys.
You two are gonna help me tame the wild beast?,beast?
"Patrick, Pat, you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.",girl.
So Dorsey can get the girl?,girl?
That's where we can help you.  With Kat.,Kat.
Dorsey can plow whoever he wants. I'm just in this for the cash.,cash.
I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.,Dorsey's.
What is it with this chick?  She have three tits?,tits?
"The situation is, my man Cameron here has a major jones for Bianca Stratford.",Stratford.
What plan?,plan?
Whatever the hell it is you're standin' there waitin' to say.,say.
What?,What?
Say it,it
See you next week!,week!
You're completely demented.,demented.
"Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...",good...
"You weren't abused, you aren't stupid, and as far as I can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?",fuck-up?
What's to discuss?,discuss?
Why don't we discuss your driving need to be a hemorrhoid?,hemorrhoid?
"I'm at a loss, then.  What should we talk about? Your year of absence?",absence?
Touch of the flu.,flu.
"I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?",well?
With the teeth of your zipper?,zipper?
It was a bratwurst.  I was eating lunch.,lunch.
It says here you exposed yourself to a group of freshmen girls.,girls.
I missed you.,you.
That ' s what I thought,thought
Absolutely not.,not.
Did I have anything to say about it?,it?
Your daughters went to the prom.,prom.
What just happened?,happened?
But -- who -- what --?,--?
"Have a great time, honey!",honey!
Dr. Ruth?,Ruth?
"What do you wanna watch?  We've got crap, crap, crap or crap",crap
Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.,day.
"They'll dance, they'll kiss, they'll come home.  Let her go.",go.
Pirate -- no question.,question.
Would you rather be ravished by a pirate or a British rear admiral?,admiral?
You're not helping.,helping.
Tumescent!,Tumescent!
Jesus!  Can a man even grab a sandwich before you women start dilating?,dilating?
Sarah Lawrence is on the other side of the country.,country.
What's a synonym for throbbing?,throbbing?
Make anyone cry today?,today?
In the microwave.,microwave.
"Can't be that far, I say.  Also, I don't like the smell of the sea around here.  Smells like a cunt. Bad sign...",sign...
"We left three weeks ago, Alonso. Can't be that near.",near.
We should have seen land.,land.
We'll all go crazy...,crazy...
He's the devil's child...,child...
With a face like that?  I don't want you looking at me.  You hear?,hear?
"Ah, leave him alone.  He's doing no harm.",harm.
"What are you listening to, chicken ass?",ass?
You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!,Bastard!
The water's going putrid in the barrels.,barrels.
I never seen heat like this!  Not even in Las Minas!,Minas!
IF-GOD-WILLS-IT!,IF-GOD-WILLS-IT!
Asia can be found to the west -- and I will prove it.,it.
Blind faith is what I consider heresy!,heresy!
Don't you realize your words could be considered heretical?,heretical?
Did He not choose a carpenter's son to reveal Himself to the world?,world?
